Compound Score,Date,Media,Negative Score,Neutral Score,Positive Score,Tweet Ago,Tweet text
-0.6908,Thu Mar 22 22:44:19 +0000 2018,@BBCWorld,0.487,0.513,0.0,1,Syria war: Eastern Ghouta rebels announce ceasefire https://t.co/Thp46pBbPS
0.0,Thu Mar 22 22:34:29 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Trump replaces McMaster with Bolton https://t.co/KNg4GjKT86
-0.6705,Thu Mar 22 22:18:10 +0000 2018,@BBCWorld,0.224,0.776,0.0,1,At least half a million children are being affected by war in Ukraine's Donbass region. One woman is on a mission t… https://t.co/0DzONJuOHi
0.25,Thu Mar 22 21:46:45 +0000 2018,@BBCWorld,0.099,0.755,0.146,1,"The Islamic State group destroyed their library in Mosul, but these sisters are determined to rebuild it https://t.co/RdplMbDkBd"
0.128,Thu Mar 22 21:03:07 +0000 2018,@BBCWorld,0.0,0.842,0.158,1,Sex doll 'brothel': Xdolls escapes Paris council censure https://t.co/QZM1X7drDN
0.0,Thu Mar 22 19:15:59 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Kenya payout for mother made to deliver on hospital floor https://t.co/PkFKaUlP46
0.4973,Thu Mar 22 19:15:59 +0000 2018,@BBCWorld,0.0,0.624,0.376,1,Dapchi kidnap: Government 'will not abandon' lone hostage https://t.co/E0Ltn9dRMA
0.0,Thu Mar 22 18:20:44 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Meet SoFi - the soft robot fish developed by MIT https://t.co/cDDnAX7sT3
0.5106,Thu Mar 22 18:17:09 +0000 2018,@BBCWorld,0.0,0.602,0.398,1,Viral teacher's inspirational chalkboard PC https://t.co/T84VYR5KKp
0.0,Thu Mar 22 18:15:23 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,RT @bbclaurak: Tusk - EU moving trade debate tomorrow because Trump tariff announcements only just coming through
0.0,Thu Mar 22 17:26:48 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Israeli man fined for urinating on memorial at Auschwitz https://t.co/97RyykWstx
0.34,Thu Mar 22 17:20:30 +0000 2018,@BBCWorld,0.0,0.893,0.107,1,"RT @BBCSport: Ireland have been handed a big 2019 World Cup lifeline.

Victory over Afghanistan on Friday will secure them a place.

👉 http…"
-0.5423,Thu Mar 22 16:59:39 +0000 2018,@BBCWorld,0.28,0.72,0.0,1,Police video shows fatal shooting of unarmed black man https://t.co/veNxSoMdLg
0.0,Thu Mar 22 16:15:47 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,EU and six other countries exempted from US metals tariffs https://t.co/IGSIUW3XDz
-0.128,Thu Mar 22 15:50:31 +0000 2018,@BBCWorld,0.207,0.631,0.162,1,Donald Trump's top Russia lawyer John Dowd resigns https://t.co/zrhg8tuw8u
0.0,Thu Mar 22 15:40:24 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,"Skating Lake Baikal, the world's deepest lake https://t.co/fLp0IU6jdw"
0.0,Thu Mar 22 14:55:08 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Cambridge Analytica taken to court over data storage https://t.co/98vGGTl7Tk
-0.6705,Thu Mar 22 14:54:46 +0000 2018,@BBCWorld,0.29,0.539,0.172,1,"Serving six years for killing her abusive ex-partner, Gloria Chochi is hoping for a rare pardon from the Spanish pr… https://t.co/Swu1dEgJ3g"
0.1779,Thu Mar 22 14:33:39 +0000 2018,@BBCWorld,0.215,0.519,0.267,1,Ukraine arrests pilot hero Savchenko over 'coup plot' https://t.co/5VQbpFkHDM
-0.5106,Thu Mar 22 14:27:54 +0000 2018,@BBCWorld,0.248,0.752,0.0,1,Dapchi kidnap: Nigerian father's pain as daughter flies to Abuja https://t.co/5ffmh4kEY1
-0.7184,Thu Mar 22 14:22:27 +0000 2018,@BBCWorld,0.5,0.5,0.0,1,YouTube gun ban drives bloggers to PornHub https://t.co/TCcECpXlER
0.0,Thu Mar 22 14:17:41 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Dutch parliament halted as man jumps from public gallery https://t.co/tZaUQxIvNu
0.0,Thu Mar 22 14:17:41 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Cynthia Nixon and 10 other celebrities who entered politics https://t.co/kVGCHrgeZW
0.0,Thu Mar 22 13:49:56 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Nigerian girls tell of kidnap ordeal https://t.co/f4XspTaAp2
-0.6249,Thu Mar 22 13:37:39 +0000 2018,@BBCWorld,0.254,0.746,0.0,1,Meet Louis - the gorilla who walks upright to avoid getting his hands - or food - dirty. 🦍🍅🍅 https://t.co/tpZfzGhMc1
-0.1531,Thu Mar 22 13:37:10 +0000 2018,@BBCWorld,0.167,0.833,0.0,1,Miss Venezuela to close temporarily over corruption claims https://t.co/eMOQoeDbtc
0.0,Thu Mar 22 13:24:26 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Austria recalls diplomat from Israel over Nazi shirt https://t.co/NesdwRc0zN
0.4854,Thu Mar 22 13:21:44 +0000 2018,@BBCWorld,0.0,0.813,0.187,1,"RT @BBC_HaveYourSay: Iran Supreme Leader Ali Khamenei is telling his people to support Iranian products, but Twitter responds with a photo…"
-0.3182,Thu Mar 22 13:16:07 +0000 2018,@BBCWorld,0.247,0.753,0.0,1,Iranian officials mocked for using foreign products https://t.co/akjRMAbD9U
0.2263,Thu Mar 22 12:44:28 +0000 2018,@BBCWorld,0.0,0.808,0.192,1,Tennessee grants $1 million to wrongly convicted man https://t.co/2OVUvE0UEJ
-0.1779,Thu Mar 22 12:28:36 +0000 2018,@BBCWorld,0.141,0.743,0.115,1,"RT @BBCSteveR: Commenting on the Skripal poisoning, one Russian paper today resorts to black humour:
The phone rings in Downing Street. 
-…"
-0.296,Thu Mar 22 11:44:32 +0000 2018,@BBCWorld,0.167,0.833,0.0,1,South Korea to shut off computers to stop people working late https://t.co/EM7AtkXQNi
0.3818,Thu Mar 22 11:20:53 +0000 2018,@BBCWorld,0.0,0.776,0.224,1,Florida school shooting students told to wear clear backpacks https://t.co/MjGowxfchq
-0.6908,Thu Mar 22 10:59:32 +0000 2018,@BBCWorld,0.416,0.584,0.0,1,Syria war: Rebels 'begin leaving key Eastern Ghouta town' https://t.co/gQ0uQjCp3l
0.0,Thu Mar 22 10:37:31 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Deadly blast at Czech chemical plant https://t.co/LROFE8ejLO
-0.4549,Thu Mar 22 10:29:12 +0000 2018,@BBCWorld,0.271,0.729,0.0,1,Uber self-driving crash: Footage shows moment before impact https://t.co/sv38LCP7ot
-0.836,Thu Mar 22 09:54:21 +0000 2018,@BBCWorld,0.53,0.47,0.0,1,Freiburg murder: Afghan jailed for life in Germany https://t.co/cqkwAQbpXw
0.0,Thu Mar 22 09:50:00 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,"Curiosity rover: 2,000 days on Mars https://t.co/ZZMhZadyeC"
0.0,Thu Mar 22 09:30:17 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Dutch referendum: Spy tapping powers vote too close to call https://t.co/uIuBfhiM7M
-0.836,Thu Mar 22 09:25:17 +0000 2018,@BBCWorld,0.53,0.47,0.0,1,Eleven jailed for life over India 'beef' murder https://t.co/jubZMnEFC6
0.0,Thu Mar 22 09:25:15 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,UK passports 'to be made in France after Brexit' https://t.co/pw72XL471C
-0.6249,Thu Mar 22 09:25:15 +0000 2018,@BBCWorld,0.362,0.638,0.0,1,Rebel Wilson: Australia media firms fail in defamation case bid https://t.co/q9T71wtAMU
-0.5859,Thu Mar 22 09:25:15 +0000 2018,@BBCWorld,0.324,0.676,0.0,1,Theresa May to warn EU leaders of Russian threat to democracy https://t.co/JMRLEigKZL
0.0,Thu Mar 22 08:14:29 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Nicolas Sarkozy: French ex-president says funding probe is 'hell' https://t.co/NxfvEqARLh
-0.34,Thu Mar 22 07:54:57 +0000 2018,@BBCWorld,0.231,0.769,0.0,1,'People against gun control haven't been shot at' https://t.co/6ZM0HgbR8s
0.7506,Thu Mar 22 05:58:17 +0000 2018,@BBCWorld,0.0,0.766,0.234,1,RT @SallyBundockBBC: This is the maths teacher who became an online star - Eddie Woo. Did you have an inspirational teacher at school? Comm…
0.5267,Thu Mar 22 02:43:49 +0000 2018,@BBCWorld,0.0,0.577,0.423,1,The vivacious fighter shaped by the favela https://t.co/dqeP0BfKQw
0.0,Thu Mar 22 02:43:47 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,South Africa and the fable of the Guptas https://t.co/fmansjhVUX
-0.5859,Thu Mar 22 02:39:08 +0000 2018,@BBCWorld,0.301,0.577,0.122,1,Was Israel prepared to kill a journalist to get to Arafat? https://t.co/IglaoX5Yxw
0.0,Thu Mar 22 02:28:53 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Joseph Mifsud: The mystery professor behind Trump Russia inquiry https://t.co/zfKRRFa5rx
-0.5423,Thu Mar 22 02:28:53 +0000 2018,@BBCWorld,0.241,0.759,0.0,1,"The community of 2,000 people with 151 cases of sex crime https://t.co/XTjKgpQ0DQ"
0.0,Thu Mar 22 02:28:53 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Entrepreneurs tackling racial inequality https://t.co/t5toacASQZ
-0.9382,Thu Mar 22 02:28:53 +0000 2018,@BBCWorld,0.697,0.207,0.095,1,"Jailed for murder, Spain domestic violence victim fights for pardon https://t.co/AyaYmH5RAk"
0.0,Thu Mar 22 02:04:43 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,RT @BBCNewsAsia: India has taken down the local website of Cambridge Analytica following allegations the company used personal data of 50m…
0.0,Thu Mar 22 02:02:51 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,RT @BBCNewsAsia: The Trump administration plans to announce sanctions against China on Thursday after determining that the country is encou…
-0.2263,Thu Mar 22 02:02:48 +0000 2018,@BBCWorld,0.137,0.863,0.0,1,RT @BBCNewsAsia: Lawsuit after Malaysian flag reported as 'IS symbol' in US https://t.co/RuXN00wmwX
0.296,Thu Mar 22 01:33:29 +0000 2018,@BBCWorld,0.0,0.82,0.18,1,Water power: How one pump is helping an entire community https://t.co/7YtuOEESuv
0.0,Thu Mar 22 01:33:29 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,The brain scanner you can move in https://t.co/HpOs6TopPF
-0.296,Thu Mar 22 01:13:40 +0000 2018,@BBCWorld,0.321,0.472,0.208,1,The woman helping Ukraine's traumatised children https://t.co/T7hUeiYxgj
0.0,Thu Mar 22 00:59:01 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,The sisters rebuilding Mosul University's library https://t.co/P7z5DjuhjR
0.0,Thu Mar 22 00:04:15 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Trump set to announce China sanctions after IP probe https://t.co/xCEQZtHtzz
0.4767,Wed Mar 21 22:38:36 +0000 2018,@BBCWorld,0.0,0.763,0.237,1,Eddie Woo: The maths teacher who became an unlikely star https://t.co/cn0RqABYrY
0.1531,Wed Mar 21 21:19:40 +0000 2018,@BBCWorld,0.0,0.882,0.118,1,Ahed Tamimi: Palestinian slap video teen gets eight months in plea deal https://t.co/sy2Dx7zznq
-0.3612,Wed Mar 21 19:44:00 +0000 2018,@BBCWorld,0.185,0.815,0.0,1,"RT @BBCBreaking: Facebook's Zuckerberg: ""We made mistakes"" over Cambridge Analytica situation https://t.co/szg6INOSlk"
0.4404,Wed Mar 21 19:31:04 +0000 2018,@BBCWorld,0.12,0.598,0.282,1,Nicolas Sarkozy: French police free ex-president after questioning https://t.co/FYLK7Vtxjw
-0.6486,Wed Mar 21 18:46:52 +0000 2018,@BBCWorld,0.261,0.739,0.0,1,"RT @BBCBreaking: Peru's President Pedro Pablo Kuczynski is to resign amid vote-buying scandal, government sources say https://t.co/E9UntpLq…"
-0.7184,Wed Mar 21 17:36:51 +0000 2018,@BBCWorld,0.4,0.6,0.0,1,Xabi Alonso: Former Real Madrid star accused of tax fraud https://t.co/hfmnLYTzEH
0.6249,Wed Mar 21 16:34:32 +0000 2018,@BBCWorld,0.0,0.579,0.421,1,Africa agrees deal for Continental Free Trade Area https://t.co/hcJrMfuxBI
-0.3875,Wed Mar 21 15:35:09 +0000 2018,@BBCWorld,0.226,0.774,0.0,1,Trump 'warned' not to congratulate Putin in Russia election https://t.co/W92syQ7kCh
-0.128,Wed Mar 21 15:35:09 +0000 2018,@BBCWorld,0.143,0.857,0.0,1,Surgeon David Nott: Hack led to Syria air strike https://t.co/8cNJ1hzqOD
-0.296,Wed Mar 21 15:18:17 +0000 2018,@BBCWorld,0.216,0.784,0.0,1,Austin bombings: Deceased suspect named as Texas man https://t.co/2cbujoDkbo
0.0,Wed Mar 21 15:13:19 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Human Rights Watch: Libya 'incapable' of holding elections https://t.co/MjbBGct3wW
0.0,Wed Mar 21 14:35:22 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Tajikistan ministry's book tells women how to dress https://t.co/r9H0rDrmfs
0.0,Wed Mar 21 14:29:13 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Cambridge Analytica: What we know so far https://t.co/s9A5ydH6n5
-0.296,Wed Mar 21 14:29:13 +0000 2018,@BBCWorld,0.268,0.732,0.0,1,Texas bombings: 'The suspect is deceased' https://t.co/4lI4YN60GX
-0.7717,Wed Mar 21 13:46:22 +0000 2018,@BBCWorld,0.261,0.739,0.0,1,RT @BBCBreaking: Suspect killed in the Austin parcel bombing case is named by US media as 23-year-old Mark Anthony Conditt https://t.co/pdB…
0.0,Wed Mar 21 13:26:14 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,"RT @BBC_HaveYourSay: Are tennis balls green? 🎾 Roger Federer says they're yellow 🤔
https://t.co/EUtZ8C4i5a"
0.0,Wed Mar 21 12:39:20 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Technology giants face European 'digital tax' slug https://t.co/sZ0IUcfDRH
-0.2263,Wed Mar 21 12:39:20 +0000 2018,@BBCWorld,0.16,0.84,0.0,1,Lawsuit after Malaysian flag reported as 'IS symbol' in US https://t.co/I5DSKL6Spj
-0.3182,Wed Mar 21 12:33:46 +0000 2018,@BBCWorld,0.204,0.796,0.0,1,Pope Francis: Vatican press chief resigns over doctored letter https://t.co/uhmagw3oFv
0.0,Wed Mar 21 11:31:37 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,"Germany returns 3,000-year-old Olmec statues to Mexico https://t.co/EEV3OEZj59"
0.5719,Wed Mar 21 11:04:30 +0000 2018,@BBCWorld,0.0,0.684,0.316,1,Global implications for NZ 'Million Dollar Mouse' success https://t.co/MRlVy95sn1
-0.3182,Wed Mar 21 10:36:42 +0000 2018,@BBCWorld,0.187,0.813,0.0,1,Families of IS India victims learned of deaths on television https://t.co/ixz0P62KOp
0.2732,Wed Mar 21 10:24:33 +0000 2018,@BBCWorld,0.215,0.467,0.318,1,'Cambodia's Amy Winehouse' mourned as inspiration https://t.co/TTfYHv6Qkf
-0.4588,Wed Mar 21 10:19:43 +0000 2018,@BBCWorld,0.267,0.733,0.0,1,Police describe the moment they confronted suspect in Austin parcel bombings https://t.co/YNjuWNUqNT https://t.co/Aes3jLrVR4
0.0,Wed Mar 21 10:16:54 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Pope Francis to visit Ireland in August https://t.co/WuL0Ti0A6K
0.0,Wed Mar 21 09:57:08 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,How a Sarajevo’s choir bridged the ethnic divide https://t.co/ELX4onOn2F
-0.7579,Wed Mar 21 08:55:48 +0000 2018,@BBCWorld,0.565,0.435,0.0,1,Austin bombings suspect dead - US media https://t.co/zp2ZFB3MJo
-0.9169,Wed Mar 21 08:27:56 +0000 2018,@BBCWorld,0.748,0.252,0.0,1,'Dozens dead' in Kabul suicide attack https://t.co/ODQTv5Pvue
0.4019,Wed Mar 21 08:20:09 +0000 2018,@BBCWorld,0.0,0.649,0.351,1,Kidnapped schoolgirls 'freed in Nigeria' https://t.co/IZF7wD5eea
0.0,Wed Mar 21 07:50:51 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Ek Do Teen: The unpopular Bollywood remake that crossed 18m views https://t.co/XJNTqJzpc7
0.0,Wed Mar 21 06:19:17 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,North Korea says sanctions did not push it to seek US talks https://t.co/lXeSDzmOzH
-0.4019,Wed Mar 21 06:15:48 +0000 2018,@BBCWorld,0.252,0.748,0.0,1,Cambridge Analytica: Facebook data row academic 'is scapegoat' https://t.co/bo4lDPsuYb
0.0772,Wed Mar 21 05:42:03 +0000 2018,@BBCWorld,0.157,0.661,0.182,1,Israel admits striking suspected Syrian nuclear reactor in 2007 https://t.co/y1xlmSX3P6
-0.3182,Wed Mar 21 05:16:02 +0000 2018,@BBCWorld,0.103,0.897,0.0,1,"RT @BBCBreaking: Myanmar president Htin Kyaw, close ally of de facto leader Aung San Suu Kyi, resigns, says his office https://t.co/36nOMei…"
-0.3182,Wed Mar 21 05:15:18 +0000 2018,@BBCWorld,0.315,0.685,0.0,1,Myanmar president Htin Kyaw resigns https://t.co/zdkLQof3ve
0.0,Wed Mar 21 04:15:31 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,RT @SallyBundockBBC: An international call for litter in the ocean to be curbed - are you changing your habits? Should we give up plastic p…
0.0,Wed Mar 21 02:28:17 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,"RT @BBCNewsAsia: ""Women came with a van. They asked me, if I'd go with them.""

Girls in their early teens are being trafficked into prostit…"
0.0,Wed Mar 21 02:24:55 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Ocean plastic could treble in decade https://t.co/yZKo262Yhv
0.6486,Wed Mar 21 02:17:08 +0000 2018,@BBCWorld,0.0,0.531,0.469,1,The story behind Africa's free trade dream https://t.co/xGNRpf7YJ2
-0.7717,Thu Mar 22 23:25:01 +0000 2018,@CBSNews,0.271,0.729,0.0,2,"After President Trump's Chinese tariff announcement, fears of a trade war led to dramatic sell off on Wall Street w… https://t.co/evc9gNKiRY"
0.4215,Thu Mar 22 23:07:22 +0000 2018,@CBSNews,0.0,0.891,0.109,2,"""They're such a part of your life, and when it's time for them to go, it's hard."" Massive study hopes to find out w… https://t.co/xrgClQr2wU"
0.3612,Thu Mar 22 23:01:57 +0000 2018,@CBSNews,0.0,0.889,0.111,2,Surveillance video shows the Las Vegas gunman in the days before the October 1 massacre. He seems like any other ho… https://t.co/BCW92j1IMB
-0.5267,Thu Mar 22 22:59:51 +0000 2018,@CBSNews,0.139,0.861,0.0,2,"After two days of heavy rain, it is winding down in California. But the threat of mudslides still has about 30,000… https://t.co/Eg5MzvLUSR"
-0.4767,Thu Mar 22 22:57:15 +0000 2018,@CBSNews,0.147,0.853,0.0,2,There was a possible attempted attack at Travis Air Force base in northern California. A car loaded with propane ta… https://t.co/fStifqJSRz
0.0,Thu Mar 22 22:53:44 +0000 2018,@CBSNews,0.0,1.0,0.0,2,Atlanta is under a ransomware cyberattack as internal systems are being held hostage. The FBI is among the agencies… https://t.co/y3kQokYS9w
-0.3818,Thu Mar 22 22:50:07 +0000 2018,@CBSNews,0.14,0.86,0.0,2,"""We will fight back fearlessly."" @benstracy has reaction on Trump's new tariffs from China, including threats.… https://t.co/oHcCcgThiv"
0.0,Thu Mar 22 22:44:51 +0000 2018,@CBSNews,0.0,1.0,0.0,2,"President Trump took the first step towards slapping as much as $60 billion in tariffs with China, which raised fea… https://t.co/pbNYRuT1YY"
0.34,Thu Mar 22 22:37:44 +0000 2018,@CBSNews,0.0,0.893,0.107,2,"General H.R. McMaster is out as the national security advisor. He will be replaced by John Bolton, a former U.S. am… https://t.co/Q91hgAR3Sd"
0.4215,Thu Mar 22 22:35:27 +0000 2018,@CBSNews,0.0,0.872,0.128,2,@CBSNews MORE: Gen. H.R. McMaster has been replaced by former Ambassador to the United Nations John Bolton as natio… https://t.co/GJYW7B518H
0.0,Thu Mar 22 22:32:01 +0000 2018,@CBSNews,0.0,1.0,0.0,2,"JUST IN: Gen. H.R. McMaster to be replaced by John Bolton, a former U.S. ambassador to the U.N., as White House nat… https://t.co/pqFeABs2Cb"
0.0,Thu Mar 22 22:26:23 +0000 2018,@CBSNews,0.0,1.0,0.0,2,"""Don't run for president."" President Trump gave some light-hearted advice he'd give his 25-year-old self during the… https://t.co/HR8EQl1FPL"
0.0,Thu Mar 22 22:18:50 +0000 2018,@CBSNews,0.0,1.0,0.0,2,House panel calls on Facebook's Mark Zuckerberg to testify amid allegations that Cambridge Analytica misused the da… https://t.co/YRiiCJ70gE
0.0,Thu Mar 22 21:50:01 +0000 2018,@CBSNews,0.0,1.0,0.0,2,"Initially slated to run for five weeks, Bruce Springsteen's hit Broadway show is extended, again, through December… https://t.co/FfX4oqkVKR"
-0.1027,Thu Mar 22 21:30:01 +0000 2018,@CBSNews,0.136,0.746,0.118,2,"A son of Nigerian immigrants, Giannis Antetokounmpo sold trinkets in the streets of Athens to help his poor family;… https://t.co/kqz3a04zjO"
-0.4404,Thu Mar 22 21:12:22 +0000 2018,@CBSNews,0.195,0.805,0.0,2,WATCH: Former White House strategist Steve Bannon addresses Cambridge Analytica scandal https://t.co/ycBlzqmqB3 https://t.co/eDhDueOEt7
-0.6705,Thu Mar 22 21:10:01 +0000 2018,@CBSNews,0.234,0.766,0.0,2,"Community members, activists to gather in Sacramento to protest fatal shooting of an unarmed black man by police; o… https://t.co/polpXooFAf"
-0.2732,Thu Mar 22 20:50:01 +0000 2018,@CBSNews,0.095,0.905,0.0,2,"In biggest one-day drop for the Dow since Feb. 8, U.S. stocks fell sharply on Thursday after President Trump announ… https://t.co/hvcbWc5KFf"
0.0,Thu Mar 22 20:30:02 +0000 2018,@CBSNews,0.0,1.0,0.0,2,"In surveillance video obtained by the New York Times, Las Vegas gunman Stephen Paddock's movements are seen in the… https://t.co/cYLlLS0Yt4"
0.765,Thu Mar 22 20:10:32 +0000 2018,@CBSNews,0.0,0.714,0.286,2,WATCH: A driver has to climb out of his sunroof as a rescue crew helps him escape his car surrounded by rushing flo… https://t.co/rWPj2hLuEU
-0.7717,Thu Mar 22 20:03:17 +0000 2018,@CBSNews,0.251,0.749,0.0,2,"NEW: Dow Jones sinks more than 700 points at closing bell amid fears of trade war; earlier Thursday, Pres. Trump an… https://t.co/Xx7gqLUC7p"
0.0,Thu Mar 22 19:52:01 +0000 2018,@CBSNews,0.0,1.0,0.0,2,"President Trump exempts five more countries from steel and aluminum tariffs for now, U.S. trade representative says… https://t.co/shmMJZrYIG"
-0.25,Thu Mar 22 19:35:36 +0000 2018,@CBSNews,0.136,0.864,0.0,2,"WATCH: The trailer of a big rig flipped on a Texas highway, spilling large rocks and gravel across all four lanes a… https://t.co/1AEb0SzTrg"
0.0,Thu Mar 22 19:20:01 +0000 2018,@CBSNews,0.0,1.0,0.0,2,One of the largest subway construction projects in the country is providing a window into Los Angeles' ancient past… https://t.co/R7gKNT8SEb
0.0,Thu Mar 22 19:00:32 +0000 2018,@CBSNews,0.0,1.0,0.0,2,Prince William and Duchess Kate visited athletes in London's Olympic Park and the prince joined a game of wheelchai… https://t.co/dEgKHpcGzq
-0.6908,Thu Mar 22 18:45:28 +0000 2018,@CBSNews,0.183,0.817,0.0,2,"""These people kill thousands of people over the course of their lives through drugs. So we're going to have to get… https://t.co/NH6AXTwKL4"
0.4838,Thu Mar 22 18:39:25 +0000 2018,@CBSNews,0.077,0.731,0.192,2,"""We're going to get a 'phase two' tax cut because it worked so well. Nobody thought it would be like this. It worke… https://t.co/XXRzCIawQf"
0.6597,Thu Mar 22 18:30:01 +0000 2018,@CBSNews,0.082,0.672,0.246,2,"Austin bombing suspect Mark Conditt was described by a friend as an assertive person who would end up being ""kind o… https://t.co/SPN3PjhZJ9"
0.0,Thu Mar 22 18:24:52 +0000 2018,@CBSNews,0.0,1.0,0.0,2,"WATCH LIVE: President Trump is participating in a panel discussion at the Generation Next Summit, a forum for mille… https://t.co/Muu2oVp0lG"
0.6369,Thu Mar 22 18:15:02 +0000 2018,@CBSNews,0.0,0.743,0.257,2,"President Trump says he ""would like to"" testify before the special counsel Robert Mueller's Russia investigation… https://t.co/fbcfFvup6x"
0.4019,Thu Mar 22 18:00:03 +0000 2018,@CBSNews,0.0,0.876,0.124,2,"Saudi Crown Prince Mohammed bin Salman has reportedly bragged to multiple parties that Jared Kushner was ""in his po… https://t.co/274Vc5WB4O"
-0.34,Thu Mar 22 18:00:01 +0000 2018,@CBSNews,0.112,0.888,0.0,2,"DEVELOPING: A large grass fire is burning homes and cars in Grady County, Oklahoma, which is just south of Oklahoma… https://t.co/xuJ95c6FD0"
0.0,Thu Mar 22 17:45:59 +0000 2018,@CBSNews,0.0,1.0,0.0,2,"Senators @CoryBooker and @JeffFlake had a duel on Capitol Hill. A snowball duel, that is. The stakes were high: the… https://t.co/Sh5TX0HSsa"
0.7964,Thu Mar 22 17:27:34 +0000 2018,@CBSNews,0.0,0.712,0.288,2,"""I would like to ask that each of you undertake to ensure one act of kindness each day toward another person. This… https://t.co/0v5XqG6vAE"
0.8896,Thu Mar 22 17:25:48 +0000 2018,@CBSNews,0.087,0.452,0.46,2,"""Never lose sight of your most valuable asset, the most value able asset you possess: your personal integrity. Not… https://t.co/o7FbsVtXKO"
0.7003,Thu Mar 22 17:25:00 +0000 2018,@CBSNews,0.0,0.721,0.279,2,House Intelligence Committee votes along party lines to release the report on its 14-month-long Russia investigatio… https://t.co/BEfFuDQTJ1
0.296,Thu Mar 22 17:22:54 +0000 2018,@CBSNews,0.0,0.872,0.128,2,MOMENTS AGO: Outgoing Secretary of State Rex Tillerson gives a farewell speech to State Department colleagues… https://t.co/ccg3C0sZsu
